TRRSRT_NM,TRRSRT_AREA_NM,TRRSRT_ADRES,TRRSRT_LA_XCRD,TRRSRT_LO_YCRD,TRRSRT_TY_NM,TRRSRT_AMOUNT,USER_AGRDE_CODE,USER_SEXDSTN_CODE,USER_BRTC_CODE,CONECT_DEVICE_NM,PURCHS_DT,ADULT_NMPR_CO,CHILD_NMPR_CO,INFNT_NMPR_CO,USE_DT,SETLE_MN_NM,TOT_AMOUNT
카멜리아힐,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-04 오후 4:04:00,0,2,0,2021-05-08 오전 11:14:30,채널결제,8400
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-08 오전 9:31:00,2,0,0,2021-05-08 오전 11:23:51,채널결제,13000
휴애리 자연생활공원,동부권,제주특별자치도 서귀포시 남원읍 신례천로 330 휴애리㈜,0,0,테마파크,,,3,,,2021-05-08 오전 11:14:00,2,1,0,2021-05-08 오전 11:24:42,카드,32400
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2021-05-05 오후 5:50:00,3,1,0,2021-05-08 오전 11:32:50,빌링(LG),108650
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-05 오후 10:55:00,2,0,0,2021-05-08 오전 11:43:41,채널결제,13000
휴애리 자연생활공원,동부권,제주특별자치도 서귀포시 남원읍 신례천로 330 휴애리㈜,0,0,테마파크,,,3,,,2021-05-07 오후 10:45:00,2,0,0,2021-05-08 오전 11:49:27,채널결제,23400
자유이용권(제주김녕미로공원),서부권,제주특별자치도 제주시 구좌읍 만장굴길 122 제주김녕미로공원,0,0,,,,3,,,2021-05-08 오전 10:57:00,4,2,0,2021-05-08 오전 11:51:30,빌링(LG),21600
서귀포잠수함,중문/서귀포,제주특별자치도 서귀포시 남성중로 40 대국해저관광(주)(서귀포잠수함),0,0,잠수함/유람선/제트보트,,,3,,,2021-05-07 오후 2:35:00,2,2,0,2021-05-08 오전 11:53:31,카드,162000
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오후 11:26:00,1,0,0,2021-05-08 오전 11:54:14,채널결제,6500
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2021-05-05 오후 1:48:00,2,2,0,2021-05-08 오전 11:56:32,빌링(LG),49200
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2021-05-07 오후 4:14:00,2,0,0,2021-05-08 오전 11:58:28,빌링(LG),46400
