년월,시도명,읍면동명,국적,외국인유동인구수
2019-08,제주시,용담2동,중국,939678.22
2019-08,제주시,용담2동,중국 외,198716.44999999998
2019-08,제주시,우도면,중국,97640.78
2019-08,제주시,우도면,중국 외,14009.4
2019-08,제주시,이도1동,중국,33394.75
2019-08,제주시,이도1동,중국 외,17677.65
2019-08,제주시,이도2동,중국,71224.72
2019-08,제주시,이도2동,중국 외,16743.98
2019-08,제주시,이호동,중국,64088.8
2019-08,제주시,이호동,중국 외,13471.43
2019-08,제주시,일도1동,중국,19612.34
2019-08,제주시,일도1동,중국 외,6631.32
2019-08,제주시,일도2동,중국,49865.15
2019-08,제주시,일도2동,중국 외,7383.55
2019-08,서귀포시,정방동,중국,60442.22
2019-08,서귀포시,정방동,중국 외,18587.81
2019-08,제주시,조천읍,중국,216182.08000000002
2019-08,제주시,조천읍,중국 외,39190.659999999996
2019-08,서귀포시,중문동,중국,164808.1
2019-08,서귀포시,중문동,중국 외,18288.73
2019-08,서귀포시,중앙동,중국,14669.97
2019-08,서귀포시,중앙동,중국 외,4434.27
2019-08,서귀포시,천지동,중국,29415.97
2019-08,서귀포시,천지동,중국 외,10615.88
2019-08,제주시,추자면,중국,84020.65
2019-08,제주시,추자면,중국 외,8476.369999999999
2019-08,서귀포시,표선면,중국,81195.7
2019-08,서귀포시,표선면,중국 외,27859.97
2019-08,제주시,한경면,중국,30889.31
2019-08,제주시,한경면,중국 외,5366.72
2019-08,제주시,한림읍,중국,136627.06
2019-08,제주시,한림읍,중국 외,28779.49
2019-08,제주시,화북동,중국,6248.37
2019-08,제주시,화북동,중국 외,10156.31
2019-08,서귀포시,효돈동,중국,7962.6
2019-08,서귀포시,효돈동,중국 외,1506.7
2019-09,제주시,건입동,중국,125251.47
2019-09,제주시,건입동,중국 외,36328.7
2019-09,제주시,구좌읍,중국,50378.03
2019-09,제주시,구좌읍,중국 외,23619.89
2019-09,서귀포시,남원읍,중국,186854.45
2019-09,서귀포시,남원읍,중국 외,42888.69
2019-09,제주시,노형동,중국,504542.23
2019-09,제주시,노형동,중국 외,50349.25
2019-09,서귀포시,대륜동,중국,63305.25
2019-09,서귀포시,대륜동,중국 외,22816.27
2019-09,서귀포시,대정읍,중국,34497.65
2019-09,서귀포시,대정읍,중국 외,7473.03
2019-09,서귀포시,대천동,중국,15913.31
2019-09,서귀포시,대천동,중국 외,8026.46
2019-09,제주시,도두동,중국,334786.16
2019-09,제주시,도두동,중국 외,33952.11
2019-09,서귀포시,동홍동,중국,55858.82
2019-09,서귀포시,동홍동,중국 외,9599.94
2019-09,제주시,봉개동,중국,68386.33
2019-09,제주시,봉개동,중국 외,9764.85
2019-09,제주시,삼도1동,중국,34803.33
2019-09,제주시,삼도1동,중국 외,15013.03
2019-09,제주시,삼도2동,중국,111322.63
2019-09,제주시,삼도2동,중국 외,55745.28
2019-09,제주시,삼양동,중국,18581.98
2019-09,제주시,삼양동,중국 외,7073.29
2019-09,서귀포시,서홍동,중국,373998.06
2019-09,서귀포시,서홍동,중국 외,18258.39
2019-09,서귀포시,성산읍,중국,181317.22
2019-09,서귀포시,성산읍,중국 외,45854.17
2019-09,서귀포시,송산동,중국,12007.880000000001
2019-09,서귀포시,송산동,중국 외,7096.5
2019-09,제주시,아라동,중국,43912.07
2019-09,제주시,아라동,중국 외,13432.56
2019-09,서귀포시,안덕면,중국,219887.25
2019-09,서귀포시,안덕면,중국 외,50985.91
2019-09,제주시,애월읍,중국,459920.05
2019-09,제주시,애월읍,중국 외,67507.95
2019-09,제주시,연동,중국,1581937.78
2019-09,제주시,연동,중국 외,188073.53
2019-09,서귀포시,영천동,중국,43437.12
2019-09,서귀포시,영천동,중국 외,9016.51
2019-09,서귀포시,예래동,중국,150938.98
2019-09,서귀포시,예래동,중국 외,49418.6
2019-09,제주시,오라동,중국,47239.12
2019-09,제주시,오라동,중국 외,25777.25
2019-09,제주시,외도동,중국,26583.31
2019-09,제주시,외도동,중국 외,23300.26
